5,1
7,1159
7,1426
7,1184
7,1686
5,925
7,1539
5,918
5,915
7,1230
7,1296
7,1212
5,121
5,513
7,1953
5,157
7,1266
7,1571
7,1176
5,974
7,1069
5,76
7,1447
7,1950
5,523
5,909
7,1557
7,1801
5,905
5,284
5,49
7,1149
7,1431
5,597
5,478
7,1590
7,1854
5,664
5,682
7,1758
7,1520
7,1154
5,834
5,171
5,332
5,202
7,1971
5,956
7,1148
5,275
7,1226
7,1743
5,280
5,687
5,595
7,1597
7,1819
7,1027
5,316
7,1829
7,1331
7,1135
5,141
7,1777
7,1821
7,1096
7,1843
7,1368
5,183
7,1955
5,372
5,446
7,1694
7,1682
5,337
5,260
7,1890
7,1574
7,1830
5,899
5,248
7,1800
5,51
5,258
7,1487
5,812
7,1884
7,1311
5,800
5,67
7,1558
7,1741
7,1127
7,1316
5,702
7,1908
5,203
5,576
5,398
7,1279
5,439
5,746
5,182
7,1816
5,841
7,1951
5,102
7,1818
5,331
7,1646
7,1595
5,130
7,1222
5,503
5,564
5,701
5,602
7,1386
7,1119
7,1530
7,1180
7,1912
7,1320
5,312
5,550
5,185
7,1427
7,1601
5,644
7,1598
7,1199
7,1021
5,319
5,37
5,348
7,1405
5,562
7,1478
7,1499
7,1152
7,1736
7,1076
7,1339
7,1811
7,1549
7,1913
5,91
7,1502
5,793
5,158
7,1880
7,1454
5,969
5,66
5,614
7,1012
7,1891
5,395
5,379
5,239
5,150
5,579
5,371
7,1049
5,833
5,451
5,442
7,1693
7,1214
7,1097
5,914
7,1621
7,1845
5,460
7,1793
5,445
7,1170
5,179
7,1967
5,265
5,715
7,1846
5,557
5,828
7,1156
5,778
5,836
7,1521
7,1983
5,406
7,1795
5,471
7,1403
5,948
7,1670
7,1198
7,1061
7,1618
7,1964
7,1088
5,794
7,1363
7,1517
7,1495
7,1309
7,1994
5,315
7,1168
7,1644
7,1740
5,683
7,1321
7,1934
5,381
5,943
5,940
5,300
7,1420
5,946
5,359
7,1344
7,1725
7,1709
7,1005
5,615
5,689
5,120
5,987
5,322
7,1330
5,535
5,122
7,1378
7,1894
5,161
5,53
7,1930
7,1628
5,504
5,119
5,533
5,251
5,658
5,362
5,92
5,643
5,71
5,958
5,452
5,6
7,1756
7,1658
7,1137
5,517
7,1600
5,572
7,1668
5,168
7,1902
5,791
5,412
7,1244
5,917
7,1577
5,199
5,131
5,234
7,1474
5,571
5,338
5,965
5,242
5,393
5,151
5,324
5,498
5,449
5,935
5,665
5,38
5,544
7,1045
5,673
7,1849
5,96
5,174
7,1206
5,634
5,31
7,1390
7,1813
5,438
5,997
7,1346
7,1759
7,1070
5,538
5,871
7,1689
7,1513
7,1377
5,509
5,266
7,1134
7,1233
5,858
7,1458
5,212
7,1958
5,279
5,674
5,230
7,1826
5,249
7,1802
5,669
7,1906
7,1394
7,1173
7,1704
5,143
7,1337
7,1957
5,458
5,350
7,1565
5,419
5,424
5,563
7,1471
5,840
7,1636
7,1948
5,178
5,139
5,627
7,1732
5,148
5,233
7,1066
7,1566
5,635
5,728
5,967
5,976
7,1899
7,1660
5,173
7,1100
5,983
5,984
5,739
5,184
7,1282
5,727
5,221
5,34
5,881
5,24
5,848
7,1022
5,181
5,964
5,499
7,1663
7,1202
5,162
7,1588
5,820
7,1751
7,1844
5,732
5,773
5,345
7,1400
5,145
5,237
5,685
7,1041
5,156
5,766
7,1304
5,995
7,1711
7,1019
5,659
5,693
5,626
7,1271
5,788
7,1589
7,1155
5,116
5,286
5,485
5,730
7,1570
5,668
7,1578
7,1253
7,1332
7,1047
5,487
7,1004
5,42
5,443
7,1516
5,136
7,1035
5,835
5,428
7,1425
7,1799
7,1015
7,1926
7,1430
5,20
7,1808
5,313
5,530
5,684
7,1867
5,642
5,28
7,1911
5,524
5,70
5,410
7,1626
5,650
7,1443
7,1828
7,1144
5,147
7,1664
5,877
5,537
5,240
7,1960
5,680
5,818
5,532
7,1434
5,374
7,1071
5,606
7,1217
5,516
7,1307
7,1387
7,1962
7,1475
7,1978
7,1796
5,838
7,1249
7,1567
7,1581
7,1273
7,1374
7,1171
7,1921
7,1242
5,310
7,1642
5,898
5,936
7,1195
7,1528
7,1130
5,553
5,706
5,708
5,60
7,1104
7,1114
7,1604
7,1299
7,1203
7,1254
5,924
5,980
5,22
5,926
5,383
5,54
7,1204
5,437
7,1037
7,1283
5,129
7,1840
5,534
5,735
5,934
5,432
7,1224
7,1057
7,1456
7,1322
5,106
7,1754
5,608
5,177
5,205
5,923
7,1078
7,1246
5,167
7,1831
7,1838
7,1560
7,1655
5,959
5,610
7,1014
5,636
7,1200
5,817
5,559
7,1408
7,1395
7,1241
5,629
7,1120
7,1924
7,1060
7,1324
7,1685
7,1113
7,1083
7,1163
7,1128
7,1509
5,721
5,94
5,717
7,1103
5,640
5,254
7,1695
5,333
5,847
5,241
7,1661
5,380
7,1466
7,1614
5,45
5,520
7,1842
5,27
5,868
7,1869
7,1175
7,1366
5,257
5,78
7,1956
5,707
5,675
7,1990
7,1550
7,1267
5,961
5,81
7,1627
5,370
7,1510
5,799
7,1939
5,895
5,613
5,454
7,1619
5,751
7,1122
7,1369
5,797
7,1991
7,1592
7,1609
5,990
7,1914
7,1384
7,1006
7,1347
7,1011
5,931
7,1065
7,1210
5,505
7,1514
7,1009
5,511
5,908
5,124
5,134
5,966
7,1280
7,1336
5,364
7,1568
7,1923
7,1046
5,696
5,89
5,837
7,1261
5,335
5,630
5,826
5,144
5,968
7,1542
7,1442
7,1080
7,1859
5,993
7,1342
7,1605
5,872
5,426
7,1776
7,1631
7,1402
5,963
5,135
5,218
5,46
7,1629
5,927
7,1093
5,330
7,1087
7,1030
5,692
7,1591
7,1587
7,1662
7,1810
7,1787
5,783
5,854
7,1013
5,542
5,210
7,1077
5,869
5,776
5,704
7,1879
5,10
5,3
5,271
7,1415
5,110
5,977
5,219
7,1250
7,1552
7,1617
5,903
7,1024
7,1295
5,719
7,1393
5,691
7,1602
5,166
5,527
7,1268
5,878
7,1716
5,962
5,765
5,126
7,1679
7,1038
7,1882
7,1218
7,1786
5,405
7,1326
7,1691
7,1917
7,1039
5,741
7,1852
5,270
5,646
7,1734
5,734
7,1413
7,1757
5,884
7,1927
7,1580
5,422
7,1790
7,1231
7,1245
7,1594
7,1986
5,998
5,197
5,724
7,1153
5,346
5,901
5,806
7,1297
5,892
7,1029
5,103
7,1228
5,80
5,651
5,784
7,1506
7,1625
7,1042
7,1700
5,360
5,867
5,981
7,1335
5,842
7,1647
7,1987
5,816
5,515
7,1865
7,1918
5,907
7,1556
7,1532
5,314
7,1422
5,518
5,13
5,988
5,555
5,758
5,880
5,770
5,138
7,1699
7,1836
5,117
7,1749
5,193
5,686
5,526
7,1095
5,376
7,1252
5,496
7,1023
5,235
7,1032
5,604
5,373
7,1062
5,891
5,638
5,764
7,1044
7,1676
5,575
7,1527
7,1963
5,528
7,1025
5,785
5,508
5,605
7,1098
7,1192
5,47
7,1839
5,677
5,224
7,1110
5,192
5,558
5,937
7,1883
7,1551
5,325
7,1462
7,1503
5,548
7,1178
5,377
7,1871
7,1864
7,1398
7,1485
7,1572
5,75
7,1136
7,1746
7,1107
5,519
7,1731
7,1314
7,1698
7,1745
5,954
7,1715
7,1720
7,1815
5,291
7,1723
7,1576
5,165
5,61
7,1318
5,522
7,1563
5,982
5,33
7,1765
7,1973
7,1915
7,1974
7,1803
7,1497
7,1966
5,244
5,607
5,769
7,1143
7,1573
7,1406
7,1379
7,1999
5,803
7,1106
7,1575
5,277
5,710
7,1177
7,1538
7,1383
7,1058
5,413
7,1980
5,227
5,386
7,1308
5,87
7,1362
5,714
7,1760
5,883
5,705
5,566
5,767
5,365
7,1350
7,1610
7,1034
7,1583
7,1515
5,356
7,1898
5,15
5,753
7,1944
7,1054
5,112
5,55
5,661
5,690
7,1275
7,1534
5,808
5,488
7,1073
7,1544
7,1008
5,624
7,1608
5,649
7,1683
5,802
5,57
5,243
7,1453
7,1613
7,1169
7,1235
7,1727
7,1806
5,327
5,587
7,1672
5,947
5,391
5,567
7,1397
5,208
7,1439
5,196
7,1885
7,1866
5,431
5,942
5,781
7,1404
5,823
7,1766
5,694
7,1561
5,408
5,64
7,1191
7,1564
5,176
7,1451
5,991
7,1823
5,725
5,384
7,1809
5,670
7,1278
7,1117
5,688
5,8
7,1465
5,21
5,200
5,274
5,342
5,897
7,1901
5,660
5,761
5,507
7,1763
7,1612
7,1436
5,971
7,1146
5,111
7,1264
5,292
5,994
5,713
5,264
5,486
7,1947
7,1263
7,1293
7,1433
5,169
5,596
5,402
7,1084
7,1860
7,1851
5,308
7,1929
7,1418
7,1272
7,1718
5,853
7,1067
5,819
7,1467
5,16
5,289
7,1928
7,1167
5,467
5,489
7,1877
7,1721
7,1219
5,74
5,955
5,447
5,311
5,215
5,32
7,1216
5,59
7,1531
5,394
5,612
5,48
7,1961
7,1782
7,1102
7,1888
7,1775
7,1489
7,1992
5,411
5,481
7,1523
7,1654
5,378
5,801
5,609
7,1640
7,1284
5,7
7,1376
7,1270
5,539
7,1188
7,1056
7,1498
5,863
